player,games,wins,winrate,elo,main_position,champion_pool,recent_winrate
Zzus,71,29,0.4084507042253521,1422.2266164325938,sup,11,0.4
Tempt,70,34,0.4857142857142857,1437.6629932717449,mid,23,0.4
Ice (Yoon Sang-hoon),70,27,0.38571428571428573,1410.2817074735815,bot,14,0.1
Starlit,70,30,0.42857142857142855,1414.2757964049058,mid,18,0.3
Tarzan (Lee Seung-yong),67,30,0.44776119402985076,1422.0723376541168,jng,15,0.4
Cheoni,67,18,0.26865671641791045,1284.5966903581727,bot,14,0.1
Blank (Kang Sun-gu),66,32,0.48484848484848486,1460.4576333846094,jng,17,0.4
Namgung,66,20,0.30303030303030304,1392.1532146505272,sup,17,0.3
Fisher (Lee Jeong-tae),65,26,0.4,1436.147995697375,mid,17,0.5
Kuzan,63,27,0.42857142857142855,1400.7686273102283,mid,15,0.3
Bang,62,24,0.3870967741935484,1402.314544494491,bot,12,0.3
Mask,62,32,0.5161290322580645,1542.6239300000395,mid,16,0.7
Wayne (Hwang Seo-hyeon),62,42,0.6774193548387096,1561.9976413315508,bot,14,0.5
Jelly (Son Ho-gyeong),60,30,0.5,1396.9622230160212,sup,12,0.3
Frim,60,19,0.31666666666666665,1439.2262104327278,top,10,0.4
Beyond (Kim Kyu-seok),58,26,0.4482758620689655,1404.8309946012523,jng,12,0.3
ZEKA (Kim Geon-woo),57,29,0.5087719298245614,1470.3015902603706,mid,19,0.4
Gori,55,30,0.5454545454545454,1500.723582963529,mid,16,0.4
Smeb,54,28,0.5185185185185185,1473.1310430302988,top,18,0.5
Citrus,53,24,0.4528301886792453,1431.5189124886058,jng,13,0.3
Blessing,53,24,0.4528301886792453,1492.7121273991286,sup,16,0.5
Arthur (Park Mi-reu),52,27,0.5192307692307693,1486.3614010228475,jng,14,0.5
Carim,49,20,0.40816326530612246,1455.2403090358919,jng,12,0.5
Sword (Choi Sung-won),47,24,0.5106382978723404,1444.9108146266658,top,15,0.4
Kania,47,22,0.46808510638297873,1462.5388589587,jng,9,0.4
Janus (Eom Ye-jun),47,21,0.44680851063829785,1473.382881488049,top,10,0.5
Ben,47,23,0.48936170212765956,1474.9783943285972,sup,11,0.4
Malrang,46,20,0.43478260869565216,1487.7784579516215,jng,17,0.7
Irove,46,16,0.34782608695652173,1434.376606448662,sup,14,0.6
Ten10,45,16,0.35555555555555557,1350.591013435913,mid,13,0.1
Leaper,44,21,0.4772727272727273,1456.0904564145867,bot,11,0.4
Peach,44,32,0.7272727272727273,1604.7376287121522,jng,8,0.6
Nuclear,44,20,0.45454545454545453,1432.1650015716536,bot,12,0.3
Mickey (Son Young-min),43,8,0.18604651162790697,1261.422652070836,mid,20,0.0
Zephyr (Hwang Hyeok-su),42,15,0.35714285714285715,1400.8901913298819,jng,13,0.3
Racerr,40,14,0.35,1407.5233670520336,top,10,0.3
Prove (Son Min-hyeong),40,16,0.4,1383.4444203912958,sup,17,0.2
KingKong (Byeon Jeong-hyeon),39,15,0.38461538461538464,1400.5190521508935,bot,15,0.3
Juhan,38,14,0.3684210526315789,1424.0916692805856,jng,12,0.4
Minous,38,15,0.39473684210526316,1416.0618102046035,sup,16,0.2
Aria (Lee Ga-eul),38,15,0.39473684210526316,1406.5868297240447,mid,14,0.3
yoHan,35,16,0.45714285714285713,1431.9191902886441,jng,12,0.2
BeRr,35,15,0.42857142857142855,1455.2165929291634,sup,10,0.3
Cover,35,19,0.5428571428571428,1508.0614306136288,mid,10,0.4
Samver,34,12,0.35294117647058826,1375.2346558461686,bot,12,0.1
Sangyoon,34,16,0.47058823529411764,1468.9821754159398,bot,13,0.4
Lucy (Hyun Soo-hoon),33,14,0.42424242424242425,1465.8291578761612,bot,12,0.5
Reble,33,22,0.6666666666666666,1577.7273313409032,sup,10,0.5
Mireu,31,7,0.22580645161290322,1342.5738193446816,mid,9,0.2
SnowFlower,31,14,0.45161290322580644,1488.1696829075368,sup,15,0.5
Dooly,29,6,0.20689655172413793,1330.49978136328,mid,13,0.1
Thumb,29,16,0.5517241379310345,1519.0571019897654,sup,7,0.5
Keine,28,5,0.17857142857142858,1320.0740751707194,mid,13,0.1
Harp,28,14,0.5,1486.1199934412498,sup,11,0.4
Punch,27,15,0.5555555555555556,1495.9490865663736,jng,9,0.3
Dahlia,26,5,0.19230769230769232,1317.5117283769946,sup,10,0.0
Nice,26,9,0.34615384615384615,1423.7398483624704,mid,7,0.4
Roach,24,12,0.5,1468.6757113683927,top,14,0.4
Listo,23,5,0.21739130434782608,1348.7301416847477,jng,8,0.0
Yaharong,22,10,0.45454545454545453,1462.0443989612947,mid,10,0.3
PraY,21,13,0.6190476190476191,1549.2902116584478,bot,4,0.6
Crazy (Kim Jae-hee),21,15,0.7142857142857143,1569.9952062185503,top,15,0.5
Jett,21,4,0.19047619047619047,1365.300866169901,mid,6,0.3
Mia,21,5,0.23809523809523808,1365.107200959672,sup,13,0.1
Ambition,19,11,0.5789473684210527,1525.4864738241863,jng,10,0.5
Score,18,11,0.6111111111111112,1548.4961184843078,jng,9,0.7
CaD,18,5,0.2777777777777778,1417.79041978734,jng,6,0.3
Lindarang,18,7,0.3888888888888889,1443.2754477644526,top,13,0.3
LukaLux,18,5,0.2777777777777778,1393.8931384951873,top,7,0.2
Key,18,13,0.7222222222222222,1567.575945020716,sup,8,0.6
Untara,17,7,0.4117647058823529,1472.1494956759607,top,8,0.5
LokeN,17,13,0.7647058823529411,1587.397240907154,bot,8,0.7
Quad,17,5,0.29411764705882354,1415.1242826345524,mid,8,0.2
Lonely (Han Gyu-joon),17,6,0.35294117647058826,1433.1965238129708,top,7,0.2
KaKAO,17,7,0.4117647058823529,1455.40378926741,jng,9,0.4
Mata,17,12,0.7058823529411765,1572.2844415349145,sup,10,0.7
Edge,16,8,0.5,1475.454258521978,mid,9,0.3
Goliath (Kim Hyo-min),16,8,0.5,1512.0427602856562,sup,12,0.6
Pout,15,6,0.4,1453.5724692006931,mid,10,0.4
5kid,15,7,0.4666666666666667,1487.1906434102978,bot,8,0.5
Bonnie,15,6,0.4,1462.8851579272139,jng,12,0.4
Joker (Cho Jae-eup),14,4,0.2857142857142857,1416.4064186529097,sup,7,0.2
SSol,14,8,0.5714285714285714,1507.3816986682984,bot,5,0.5
SoaR,13,7,0.5384615384615384,1497.9476833485528,top,10,0.5
Wolf (Lee Jae-wan),13,7,0.5384615384615384,1508.3883607001978,sup,6,0.5
ALL IN,13,6,0.46153846153846156,1475.1852596184162,mid,8,0.3
MadLife,13,6,0.46153846153846156,1472.144922321778,sup,5,0.4
Alive,12,2,0.16666666666666666,1389.5898892414925,sup,9,0.1
PawN,12,7,0.5833333333333334,1515.0824542286273,mid,6,0.5
Sw0rd,12,3,0.25,1409.7424793364773,top,6,0.1
Nova (Park Chan-ho),12,3,0.25,1418.2451488648585,sup,8,0.2
Crown,12,6,0.5,1500.5754189929066,mid,9,0.6
Grace,12,4,0.3333333333333333,1437.9867373448665,mid,7,0.3
Kuma (Park Hyeon-gyu),12,1,0.08333333333333333,1369.2532652868772,jng,5,0.0
Ian,12,6,0.5,1487.8506605127645,mid,7,0.4
SOLBON,11,1,0.09090909090909091,1378.955435401837,mid,6,0.0
Winthor,11,6,0.5454545454545454,1518.747894201006,mid,6,0.6
Chei,11,5,0.45454545454545453,1485.8758516990742,sup,6,0.5
Coco,11,6,0.5454545454545454,1503.7453490620926,mid,6,0.6
Winged,11,5,0.45454545454545453,1485.8758516990742,jng,6,0.5
Space (Seon Ho-san),11,6,0.5454545454545454,1503.7453490620926,bot,4,0.6
Midir,11,3,0.2727272727272727,1435.4216384398728,top,4,0.3
Totoro (Eun Jong-seop),11,6,0.5454545454545454,1504.3633909607368,sup,7,0.5
Shy,11,6,0.5454545454545454,1503.7453490620926,top,4,0.6
Yeongjae (Ko Yeong-jae),10,1,0.1,1391.0761002926204,jng,5,0.1
MaHa,10,6,0.6,1521.0025694225415,bot,5,0.6
OddEye,10,3,0.3,1453.681093523215,bot,6,0.3
ADD,10,6,0.6,1521.0025694225415,top,5,0.6
Max (Jeong Jong-bin),10,6,0.6,1521.0025694225415,sup,7,0.6
Light (Kwon Sun-ho),10,1,0.1,1395.6116970082096,bot,7,0.1
Ganknam,10,3,0.3,1450.3567786174926,jng,4,0.3
Athena,10,9,0.9,1607.8557177082905,mid,3,0.9
Ares (Kim Min-kwon),10,9,0.9,1607.8557177082905,jng,4,0.9
key,10,7,0.7,1561.4016069972456,sup,7,0.7
Azhi,9,4,0.4444444444444444,1482.7106382627876,top,7,0.4444444444444444
Maple (Huang Yi-Tang),9,4,0.4444444444444444,1482.7106382627876,mid,5,0.4444444444444444
About,9,7,0.7777777777777778,1557.9264209395787,bot,3,0.7777777777777778
Arrow,9,4,0.4444444444444444,1481.7341879140065,bot,5,0.4444444444444444
Ryan,9,5,0.5555555555555556,1511.5681827505591,jng,5,0.5555555555555556
Cry,9,7,0.7777777777777778,1569.3988969113302,mid,4,0.7777777777777778
Wizer,9,4,0.4444444444444444,1480.4391542770131,top,6,0.4444444444444444
Karsa,9,4,0.4444444444444444,1482.7106382627876,jng,5,0.4444444444444444
Betty,9,4,0.4444444444444444,1482.7106382627876,bot,4,0.4444444444444444
Woody,9,4,0.4444444444444444,1482.7106382627876,sup,9,0.4444444444444444
Ssumday,9,4,0.4444444444444444,1481.7341879140065,top,5,0.4444444444444444
Feiz (Seo Dae-gil),8,6,0.75,1557.4007364934175,bot,4,0.75
Kemish,8,6,0.75,1546.8285395848134,mid,4,0.75
Hollow,8,3,0.375,1469.2311378704383,bot,4,0.375
Cepted,8,4,0.5,1496.0260315163764,mid,5,0.5
CoreJJ,8,4,0.5,1498.6483948598354,sup,5,0.5
Thal,8,2,0.25,1440.2155928919885,top,7,0.25
Crush,8,4,0.5,1498.7688621295617,jng,5,0.5
DanChung,8,2,0.25,1440.2155928919885,mid,6,0.25
Bengi,8,4,0.5,1498.7688621295617,jng,4,0.5
Junwon,8,4,0.5,1501.2646213087296,sup,4,0.5
Aegis (Kim Geun-mo),8,4,0.5,1496.0260315163764,sup,3,0.5
Deul,8,4,0.5,1496.0260315163764,bot,3,0.5
Jisu,8,1,0.125,1419.8192605456659,top,5,0.125
Lukalux,8,5,0.625,1523.95360729168,top,3,0.625
Tempester,7,2,0.2857142857142857,1460.6170719330514,mid,7,0.2857142857142857
Rather,7,5,0.7142857142857143,1536.6084453560895,mid,4,0.7142857142857143
Maggie,7,4,0.5714285714285714,1511.037882655452,jng,4,0.5714285714285714
Luuuck,7,4,0.5714285714285714,1511.037882655452,top,5,0.5714285714285714
Shark (Zhang Yu-Qi),7,4,0.5714285714285714,1511.037882655452,bot,3,0.5714285714285714
Wuy,7,4,0.5714285714285714,1511.037882655452,sup,4,0.5714285714285714
Bless (Choi Hyeon-woong),7,4,0.5714285714285714,1508.6536275257617,jng,3,0.5714285714285714
Forse (Xie Kuai),7,4,0.5714285714285714,1511.037882655452,mid,3,0.5714285714285714
Asper,7,2,0.2857142857142857,1451.7326510075295,sup,6,0.2857142857142857
Ray,7,3,0.42857142857142855,1482.0765550161505,top,5,0.42857142857142855
Mocha (Kim Tae-gyeom),7,3,0.42857142857142855,1479.5209073201208,sup,4,0.42857142857142855
Pilot (Na Woo-hyung),7,2,0.2857142857142857,1454.1146970968002,bot,6,0.2857142857142857
GAP,7,3,0.42857142857142855,1479.5209073201208,bot,4,0.42857142857142855
Fury (Lee Jin-yong),7,1,0.14285714285714285,1430.0698872185078,bot,4,0.14285714285714285
lira,6,3,0.5,1496.5812665320202,jng,4,0.5
Snowflower,6,3,0.5,1496.5812665320202,sup,3,0.5
Pure,6,2,0.3333333333333333,1471.4187334679798,sup,5,0.3333333333333333
LazyFeel,6,3,0.5,1497.9837021092228,bot,4,0.5
Chieftain,6,1,0.16666666666666666,1444.873999362615,jng,6,0.16666666666666666
GgooNg,6,1,0.16666666666666666,1443.4902236811402,mid,4,0.16666666666666666
Lody,6,1,0.16666666666666666,1442.1585178601413,jng,4,0.16666666666666666
Nagne,6,3,0.5,1496.5812665320202,mid,4,0.5
Ady (Seong Min-kyu),6,1,0.16666666666666666,1439.6598940985302,top,5,0.16666666666666666
Frozen (Kim Tae-il),6,2,0.3333333333333333,1470.198523274937,mid,4,0.3333333333333333
Expession,6,2,0.3333333333333333,1470.198523274937,top,5,0.3333333333333333
BroCColi,6,0,0.0,1414.307750154399,jng,5,0.0
Moo (Lim Mu-heon),6,4,0.6666666666666666,1523.126000637385,bot,4,0.6666666666666666
TLong,6,0,0.0,1414.307750154399,bot,5,0.0
Zenit,6,2,0.3333333333333333,1467.456293783468,bot,4,0.3333333333333333
reM (Lee Hyeon-seo),6,4,0.6666666666666666,1523.126000637385,mid,4,0.6666666666666666
POP,6,3,0.5,1497.801476725063,sup,4,0.5
Plex (Bae Ho-young),6,3,0.5,1497.801476725063,mid,4,0.5
Aress,5,1,0.2,1453.532662569764,mid,5,0.2
Jiin,5,2,0.4,1482.6583435345854,mid,4,0.4
Gango,5,2,0.4,1482.6583435345854,bot,4,0.4
Spoon (Park Ki-hwan),5,2,0.4,1482.6583435345854,bot,4,0.4
GGul,5,2,0.4,1482.6583435345854,top,4,0.4
Dokgo,5,3,0.6,1511.8502041837407,jng,3,0.6
Haetae,5,0,0.0,1426.99433841652,top,2,0.0
Draktharr,5,1,0.2,1453.532662569764,jng,4,0.2
Hipo,5,1,0.2,1457.5447611813524,top,4,0.2
Cloud (Moon Hyeon-ho),5,0,0.0,1426.99433841652,sup,4,0.0
Pun,5,1,0.2,1453.532662569764,top,4,0.2
SaSin,5,3,0.6,1511.8502041837407,mid,4,0.6
Monarca,5,2,0.4,1482.6583435345854,jng,3,0.4
Sive,5,2,0.4,1482.6583435345854,sup,4,0.4
Profit,5,4,0.8,1541.00566158348,top,5,0.8
MaRin,5,2,0.4,1482.6583435345854,top,3,0.4
SeongHwan,5,1,0.2,1456.1497958162593,jng,4,0.2
Taki (Đinh Anh Tài),5,1,0.2,1453.532662569764,sup,3,0.2
